Subject,Week,Session,Med_type,Start Time (s),End Time (s),Duration (s),From State,To State,Transition Type,Transition
1425,,688320_TET.mat,Breath,180,360,180,1,5,gradual,1→5
1425,,688320_TET.mat,Breath,540,780,240,5,1,gradual,5→1
1425,,695367_TET.mat,Loving Kindness,360,540,180,5,4,gradual,5→4
1425,,703578_TET.mat,Breath,180,420,240,2,5,gradual,2→5
1425,,721257_TET.mat,Open Monitoring,480,660,180,5,1,gradual,5→1
1425,,723179_TET.mat,Open Monitoring,240,720,480,1,5,gradual,1→5
1425,,741735_TET.mat,Breath,300,480,180,1,5,gradual,1→5
1425,,754531_TET.mat,Open Monitoring,240,480,240,5,1,gradual,5→1
1425,,756369_TET.mat,Breath,120,360,240,5,1,gradual,5→1
1425,,770125_TET.mat,Loving Kindness,300,420,120,1,5,gradual,1→5
1425,,770125_TET.mat,Loving Kindness,420,780,360,5,1,gradual,5→1
1425,,800859_TET.mat,Breath,240,540,300,5,1,gradual,5→1
1425,,800859_TET.mat,Breath,540,780,240,1,5,gradual,1→5
1425,,804897_TET.mat,Open Monitoring,120,360,240,5,2,gradual,5→2
1425,,809964_TET.mat,Open Monitoring,120,540,420,3,1,gradual,3→1
1425,,809964_TET.mat,Open Monitoring,240,660,420,1,5,gradual,1→5
1425,,810509_TET.mat,Breath,660,900,240,5,2,gradual,5→2
1425,,815559_TET.mat,Breath,480,840,360,1,5,gradual,1→5
1425,,830769_TET.mat,Breath,420,600,180,5,4,gradual,5→4
1425,,840360_TET.mat,Open Monitoring,300,480,180,5,3,gradual,5→3
1425,,840360_TET.mat,Open Monitoring,480,900,420,3,5,gradual,3→5
1425,,842556_TET.mat,Open Monitoring,180,480,300,5,2,gradual,5→2
1425,,863011_TET.mat,Breath,180,480,300,5,1,gradual,5→1
1425,,863011_TET.mat,Breath,600,900,300,1,5,gradual,1→5
1425,,865235_TET.mat,Breath,120,360,240,5,1,gradual,5→1
1425,,865235_TET.mat,Breath,600,900,300,1,2,gradual,1→2
1465_WashingtonQuelea,,834709_TET.mat,Loving Kindness,120,300,180,5,1,gradual,5→1
1465_WashingtonQuelea,,834709_TET.mat,Loving Kindness,600,840,240,1,4,gradual,1→4
1465_WashingtonQuelea,,835948_TET.mat,Open Monitoring,600,900,300,4,3,gradual,4→3
1465_WashingtonQuelea,,835984_TET.mat,Open Monitoring,420,720,300,4,2,gradual,4→2
1465_WashingtonQuelea,,836139_TET.mat,Loving Kindness,300,720,420,5,4,gradual,5→4
1465_WashingtonQuelea,,836171_TET.mat,Breath,420,780,360,5,2,gradual,5→2
1465_WashingtonQuelea,,837916_TET.mat,Open Monitoring,360,660,300,3,2,gradual,3→2
1465_WashingtonQuelea,,837919_TET.mat,Open Monitoring,480,720,240,3,1,gradual,3→1
1465_WashingtonQuelea,,837922_TET.mat,Breath,240,540,300,2,5,gradual,2→5
1733_BandjarmasinKomodoDragon,,592231_TET.mat,Breath,240,480,240,5,1,gradual,5→1
1733_BandjarmasinKomodoDragon,,600277_TET.mat,Breath,240,600,360,1,2,gradual,1→2
1733_BandjarmasinKomodoDragon,,640677_TET.mat,Open Monitoring,300,540,240,3,2,gradual,3→2
1733_BandjarmasinKomodoDragon,,643860_TET.mat,Open Monitoring,360,540,180,1,3,gradual,1→3
1733_BandjarmasinKomodoDragon,,648345_TET.mat,Breath,240,900,660,1,5,gradual,1→5
1733_BandjarmasinKomodoDragon,,648345_TET.mat,Breath,480,900,420,5,2,gradual,5→2
1733_BandjarmasinKomodoDragon,,653177_TET.mat,Open Monitoring,60,240,180,1,3,gradual,1→3
1733_BandjarmasinKomodoDragon,,663704_TET.mat,Breath,180,540,360,1,2,gradual,1→2
1733_BandjarmasinKomodoDragon,,663872_TET.mat,Open Monitoring,180,360,180,5,3,gradual,5→3
1733_BandjarmasinKomodoDragon,,669220_TET.mat,Loving Kindness,180,420,240,1,5,gradual,1→5
1733_BandjarmasinKomodoDragon,,865181_TET.mat,Open Monitoring,120,240,120,1,5,gradual,1→5
184_WestYorkshireWalrus,,901100_TET.mat,Breath,480,780,300,4,5,gradual,4→5
184_WestYorkshireWalrus,,901170-2_TET.mat,Loving Kindness,420,720,300,4,5,gradual,4→5
184_WestYorkshireWalrus,,901170-3_TET.mat,Breath,180,420,240,5,4,gradual,5→4
184_WestYorkshireWalrus,,901191_TET.mat,Open Monitoring,660,900,240,4,3,gradual,4→3
184_WestYorkshireWalrus,,902497_TET.mat,Loving Kindness,720,900,180,3,4,gradual,3→4
184_WestYorkshireWalrus,,904786_TET.mat,Breath,180,480,300,3,1,gradual,3→1
1867_BucharestTrout,,1278665_TET.mat,Breath,120,660,540,3,4,gradual,3→4
1867_BucharestTrout,,901032_TET.mat,Breath,240,660,420,3,4,gradual,3→4
1867_BucharestTrout,,901164_TET.mat,Breath,300,600,300,4,2,gradual,4→2
1867_BucharestTrout,,901164_TET.mat,Breath,600,900,300,2,5,gradual,2→5
1867_BucharestTrout,,901165_TET.mat,Breath,420,720,300,5,4,gradual,5→4
1867_BucharestTrout,,901167_TET.mat,Breath,420,900,480,3,5,gradual,3→5
1867_BucharestTrout,,902542_TET.mat,Loving Kindness,60,420,360,5,4,gradual,5→4
1867_BucharestTrout,,902839_TET.mat,Open Monitoring,360,720,360,4,5,gradual,4→5
1867_BucharestTrout,,904569_TET.mat,Open Monitoring,180,540,360,5,4,gradual,5→4
1867_BucharestTrout,,904784_TET.mat,Breath,60,480,420,5,4,gradual,5→4
1867_GoianiaCrane,,834143_TET.mat,Loving Kindness,480,780,300,4,3,gradual,4→3
1867_GoianiaCrane,,834571_TET.mat,Loving Kindness,240,540,300,4,5,gradual,4→5
1867_GoianiaCrane,,834571_TET.mat,Loving Kindness,540,780,240,5,4,gradual,5→4
1867_GoianiaCrane,,834611_TET.mat,Open Monitoring,240,540,300,4,3,gradual,4→3
1867_GoianiaCrane,,834611_TET.mat,Open Monitoring,600,900,300,3,4,gradual,3→4
1867_GoianiaCrane,,835735_TET.mat,Open Monitoring,360,780,420,4,3,gradual,4→3
1867_GoianiaCrane,,835735_TET.mat,Open Monitoring,540,900,360,3,5,gradual,3→5
1867_GoianiaCrane,,835950_TET.mat,Open Monitoring,60,540,480,5,3,gradual,5→3
1867_GoianiaCrane,,842436_TET.mat,Breath,660,900,240,1,5,gradual,1→5
1871,,594329_TET.mat,Open Monitoring,420,660,240,5,1,gradual,5→1
1871,,654943_TET.mat,Breath,300,660,360,2,5,gradual,2→5
1871,,699477_TET.mat,Loving Kindness,360,540,180,5,4,gradual,5→4
1871,,725076_TET.mat,Loving Kindness,180,360,180,5,3,gradual,5→3
1871,,742053_TET.mat,Open Monitoring,120,420,300,5,3,gradual,5→3
1871,,754782_TET.mat,Loving Kindness,300,540,240,5,3,gradual,5→3
1991_MendozaCow,,604034_TET.mat,Breath,120,480,360,5,4,gradual,5→4
1991_MendozaCow,,622378_TET.mat,Loving Kindness,180,600,420,2,4,gradual,2→4
1991_MendozaCow,,630292_TET.mat,Loving Kindness,360,660,300,4,1,gradual,4→1
1991_MendozaCow,,646785_TET.mat,Loving Kindness,240,660,420,2,4,gradual,2→4
1991_MendozaCow,,656788_TET.mat,Breath,300,660,360,5,4,gradual,5→4
1991_MendozaCow,,660627_TET.mat,Loving Kindness,120,420,300,5,1,gradual,5→1
1991_MendozaCow,,665006_TET.mat,Breath,120,540,420,2,4,gradual,2→4
1991_MendozaCow,,665125_TET.mat,Breath,540,840,300,2,5,gradual,2→5
1991_MendozaCow,,672276_TET.mat,Breath,180,480,300,5,1,gradual,5→1
1991_MendozaCow,,703644_TET.mat,Loving Kindness,540,780,240,5,1,gradual,5→1
1991_MendozaCow,,709065_TET.mat,Breath,240,660,420,5,1,gradual,5→1
2222_JiutaiChicken,,801408_TET.mat,Breath,180,420,240,2,5,gradual,2→5
2222_JiutaiChicken,,817652_TET.mat,Breath,120,360,240,2,5,gradual,2→5
2222_JiutaiChicken,,817652_TET.mat,Breath,540,720,180,5,2,gradual,5→2
2222_JiutaiChicken,,821143_TET.mat,Breath,480,780,300,2,1,gradual,2→1
2222_JiutaiChicken,,822885_TET.mat,Breath,480,840,360,1,2,gradual,1→2
2222_JiutaiChicken,,851738_TET.mat,Breath,420,660,240,2,1,gradual,2→1
2222_JiutaiChicken,,869420_TET.mat,Open Monitoring,360,540,180,5,3,gradual,5→3
2222_JiutaiChicken,,869420_TET.mat,Open Monitoring,540,720,180,3,5,gradual,3→5
2743_HuaianKoi,,580016_TET.mat,Breath,120,300,180,3,5,gradual,3→5
2743_HuaianKoi,,580016_TET.mat,Breath,300,540,240,5,1,gradual,5→1
2743_HuaianKoi,,580785_TET.mat,Breath,180,420,240,2,1,gradual,2→1
2743_HuaianKoi,,582881_TET.mat,Breath,180,480,300,2,5,gradual,2→5
2743_HuaianKoi,,587419_TET.mat,Breath,180,720,540,2,5,gradual,2→5
2743_HuaianKoi,,587419_TET.mat,Breath,300,720,420,5,1,gradual,5→1
2743_HuaianKoi,,589853_TET.mat,Breath,120,480,360,2,5,gradual,2→5
2743_HuaianKoi,,592271_TET.mat,Breath,180,660,480,2,5,gradual,2→5
2743_HuaianKoi,,592271_TET.mat,Breath,420,660,240,5,1,gradual,5→1
2743_HuaianKoi,,593275_TET.mat,Breath,360,600,240,2,1,gradual,2→1
2743_HuaianKoi,,595446_TET.mat,Breath,60,600,540,2,5,gradual,2→5
2743_HuaianKoi,,595446_TET.mat,Breath,300,600,300,5,1,gradual,5→1
2743_HuaianKoi,,620943_TET.mat,Loving Kindness,120,480,360,2,1,gradual,2→1
2743_HuaianKoi,,623173_TET.mat,Loving Kindness,540,780,240,2,4,gradual,2→4
2743_HuaianKoi,,626176_TET.mat,Loving Kindness,60,480,420,2,5,gradual,2→5
2743_HuaianKoi,,626176_TET.mat,Loving Kindness,180,420,240,5,1,gradual,5→1
2743_HuaianKoi,,626176_TET.mat,Loving Kindness,420,660,240,1,4,gradual,1→4
2743_HuaianKoi,,631264_TET.mat,Loving Kindness,60,600,540,2,5,gradual,2→5
2743_HuaianKoi,,631264_TET.mat,Loving Kindness,240,600,360,5,1,gradual,5→1
2743_HuaianKoi,,633517_TET.mat,Loving Kindness,480,780,300,2,1,gradual,2→1
2743_HuaianKoi,,635574_TET.mat,Loving Kindness,420,900,480,2,4,gradual,2→4
2743_HuaianKoi,,642610_TET.mat,Loving Kindness,420,840,420,5,1,gradual,5→1
2743_HuaianKoi,,643989_TET.mat,Open Monitoring,120,360,240,2,1,gradual,2→1
2743_HuaianKoi,,645789_TET.mat,Open Monitoring,120,540,420,2,5,gradual,2→5
2743_HuaianKoi,,645789_TET.mat,Open Monitoring,420,780,360,5,1,gradual,5→1
2743_HuaianKoi,,647866_TET.mat,Open Monitoring,300,600,300,2,5,gradual,2→5
2743_HuaianKoi,,647866_TET.mat,Open Monitoring,660,900,240,5,1,gradual,5→1
2743_HuaianKoi,,648955_TET.mat,Open Monitoring,600,840,240,2,1,gradual,2→1
2743_HuaianKoi,,649894_TET.mat,Open Monitoring,600,780,180,2,1,gradual,2→1
2743_HuaianKoi,,650967_TET.mat,Open Monitoring,360,660,300,2,1,gradual,2→1
2743_HuaianKoi,,652015_TET.mat,Open Monitoring,240,540,300,5,1,gradual,5→1
2743_HuaianKoi,,652964_TET.mat,Open Monitoring,60,360,300,3,5,gradual,3→5
2743_HuaianKoi,,657871_TET.mat,Open Monitoring,120,420,300,2,5,gradual,2→5
2743_HuaianKoi,,657871_TET.mat,Open Monitoring,660,900,240,5,1,gradual,5→1
2743_HuaianKoi,,659539_TET.mat,Open Monitoring,420,900,480,2,1,gradual,2→1
3604_LichuanHookworm,,836141_TET.mat,Loving Kindness,60,360,300,1,4,gradual,1→4
3604_LichuanHookworm,,836141_TET.mat,Loving Kindness,660,900,240,4,1,gradual,4→1
3604_ShangquiHare,,901180_TET.mat,Open Monitoring,720,900,180,2,4,gradual,2→4
3604_ShangquiHare,,904562_TET.mat,Open Monitoring,540,780,240,3,2,gradual,3→2
3604_ShangquiHare,,904733_TET.mat,Breath,420,660,240,2,5,gradual,2→5
3614_BrisbaneHornet,,832904_TET.mat,Breath,300,540,240,2,1,gradual,2→1
3614_BrisbaneHornet,,834347_TET.mat,Loving Kindness,120,300,180,5,1,gradual,5→1
3614_VientianeWhippet,,901006_TET.mat,Breath,180,420,240,4,5,gradual,4→5
3614_VientianeWhippet,,901238_TET.mat,Loving Kindness,300,600,300,4,5,gradual,4→5
3614_VientianeWhippet,,902905_TET.mat,Loving Kindness,300,540,240,4,5,gradual,4→5
3614_VientianeWhippet,,904380_TET.mat,Breath,180,480,300,5,2,gradual,5→2
3938_YingchengSeaLion,,1278618_TET.mat,Open Monitoring,600,840,240,3,4,gradual,3→4
4765_NouakchottMoose,,901060_TET.mat,Breath,300,660,360,5,4,gradual,5→4
4765_NouakchottMoose,,902571_TET.mat,Loving Kindness,540,840,300,4,5,gradual,4→5
4765_NouakchottMoose,,902843_TET.mat,Open Monitoring,120,300,180,3,5,gradual,3→5
4765_NouakchottMoose,,904572_TET.mat,Open Monitoring,360,720,360,5,2,gradual,5→2
4765_NouakchottMoose,,904630-1_TET.mat,Open Monitoring,300,660,360,5,3,gradual,5→3
4765_NouakchottMoose,,904630-2_TET.mat,Open Monitoring,180,540,360,3,5,gradual,3→5
4765_NouakchottMoose,,904630-2_TET.mat,Open Monitoring,240,540,300,5,3,gradual,5→3
4765_NouakchottMoose,,904787_TET.mat,Breath,60,420,360,5,2,gradual,5→2
5644_AkesuCoral,,834380_TET.mat,Loving Kindness,420,600,180,3,5,gradual,3→5
5644_AkesuCoral,,834591_TET.mat,Open Monitoring,360,540,180,5,3,gradual,5→3
5644_AkesuCoral,,834612_TET.mat,Open Monitoring,420,720,300,2,3,gradual,2→3
5644_AkesuCoral,,834622_TET.mat,Breath,360,900,540,3,4,gradual,3→4
5644_AkesuCoral,,834622_TET.mat,Breath,600,840,240,4,3,gradual,4→3
5644_AkesuCoral,,834640_TET.mat,Loving Kindness,300,540,240,5,4,gradual,5→4
5892_LvivRooster,,834381_TET.mat,Loving Kindness,240,540,300,4,2,gradual,4→2
5892_LvivRooster,,846011_TET.mat,Loving Kindness,120,360,240,5,4,gradual,5→4
5892_LvivRooster,,846012_TET.mat,Breath,60,300,240,4,1,gradual,4→1
5892_LvivRooster,,846013_TET.mat,Breath,120,420,300,5,3,gradual,5→3
5892_LvivRooster,,846014_TET.mat,Open Monitoring,480,840,360,3,2,gradual,3→2
5892_NonthaburiHalibut,,901037_TET.mat,Breath,360,660,300,2,5,gradual,2→5
5892_NonthaburiHalibut,,901063_TET.mat,Breath,300,540,240,4,5,gradual,4→5
5892_NonthaburiHalibut,,901063_TET.mat,Breath,540,900,360,5,4,gradual,5→4
5892_NonthaburiHalibut,,901156_TET.mat,Loving Kindness,480,840,360,2,5,gradual,2→5
5892_NonthaburiHalibut,,901200_TET.mat,Open Monitoring,540,900,360,3,5,gradual,3→5
5892_NonthaburiHalibut,,904736_TET.mat,Breath,420,780,360,4,5,gradual,4→5
7135_TampicoWallaby,,901009_TET.mat,Breath,240,420,180,4,2,gradual,4→2
7135_TampicoWallaby,,901099_TET.mat,Breath,180,360,180,5,2,gradual,5→2
7135_TampicoWallaby,,901099_TET.mat,Breath,540,660,120,2,5,gradual,2→5
7135_TampicoWallaby,,901169_TET.mat,Breath,240,420,180,5,2,gradual,5→2
7135_TampicoWallaby,,901176_TET.mat,Open Monitoring,180,360,180,5,4,gradual,5→4
7135_TampicoWallaby,,901176_TET.mat,Open Monitoring,480,660,180,4,2,gradual,4→2
7135_TampicoWallaby,,902878_TET.mat,Open Monitoring,240,420,180,5,2,gradual,5→2
7135_TampicoWallaby,,904779_TET.mat,Breath,300,420,120,5,4,gradual,5→4
7135_TampicoWallaby,,904779_TET.mat,Breath,420,600,180,4,5,gradual,4→5
8681_NanchangAlbatross,,902813_TET.mat,Loving Kindness,120,480,360,3,4,gradual,3→4
8681_NanchangAlbatross,,902814_TET.mat,Loving Kindness,360,660,300,3,5,gradual,3→5
8681_NanchangAlbatross,,902915_TET.mat,Open Monitoring,300,600,300,5,4,gradual,5→4
8681_NanchangAlbatross,,902915_TET.mat,Open Monitoring,660,900,240,4,5,gradual,4→5
8681_NanchangAlbatross,,904810_TET.mat,Open Monitoring,60,420,360,5,3,gradual,5→3
8681_NanchangAlbatross,,904810_TET.mat,Open Monitoring,600,900,300,3,5,gradual,3→5
8681_NanchangAlbatross,,904957_TET.mat,Loving Kindness,240,600,360,5,4,gradual,5→4
8681_NanchangAlbatross,,904957_TET.mat,Loving Kindness,660,900,240,4,5,gradual,4→5
8681_NanchangAlbatross,,906999_TET.mat,Breath,360,660,300,3,5,gradual,3→5
8725_ShishouMosquito,,901263_TET.mat,Loving Kindness,360,660,300,2,4,gradual,2→4
8725_ShishouMosquito,,902671_TET.mat,Loving Kindness,60,360,300,5,4,gradual,5→4
8725_ShishouMosquito,,904807_TET.mat,Breath,120,480,360,5,4,gradual,5→4
8725_ShishouMosquito,,904807_TET.mat,Breath,540,900,360,4,5,gradual,4→5
8725_YangchunCobra,,832981_TET.mat,Breath,240,660,420,3,2,gradual,3→2
8725_YangchunCobra,,834176_TET.mat,Loving Kindness,300,600,300,5,4,gradual,5→4
8725_YangchunCobra,,834263_TET.mat,Loving Kindness,60,360,300,5,4,gradual,5→4
8725_YangchunCobra,,834263_TET.mat,Loving Kindness,360,780,420,4,5,gradual,4→5
8725_YangchunCobra,,834608_TET.mat,Open Monitoring,480,780,300,5,3,gradual,5→3
8725_YangchunCobra,,834636_TET.mat,Loving Kindness,60,360,300,5,4,gradual,5→4
8725_YangchunCobra,,836134_TET.mat,Loving Kindness,360,660,300,5,4,gradual,5→4
8725_YangchunCobra,,836167_TET.mat,Breath,300,480,180,5,3,gradual,5→3
8725_YangchunCobra,,839339_TET.mat,Breath,300,780,480,1,5,gradual,1→5
8725_YangchunCobra,,839576_TET.mat,Breath,420,720,300,5,3,gradual,5→3
